,Year_text,Location,Subcategory_ID,volume_litres,RSP
0,2016,1.0,1,26676438.911000006,297392893.04485196
1,2016,1.0,2,40858484.469,517208620.473439
2,2016,1.0,3,98405308.853,252038086.96023467
3,2016,1.0,4,67821759685.44,146087482364.5212
4,2016,1.0,6,136465349.762,1270331.8588139117
5,2016,1.0,7,313265331.671,1488260.5373635048
6,2016,1.0,8,67920165002.55,146339355511.01538
7,2016,1.0,9,67534923.389,814391723.2202941
8,2016,1.0,10,4669334317.66,23268666003.211655
9,2016,1.0,11,16261343188.55,66561404749.39352
10,2016,1.0,12,46891082183.309,56261098605.599106
11,2016,1.0,13,68437430604.19,149912943243.20663
12,2016,1.0,14,5912294098.382,90612507386.02779
13,2016,1.0,15,11817201.787896,241310120.55767387
14,2016,1.0,16,858622.180378,4726.920012814391
15,2016,1.0,17,6135.650546,84876.49921966667
16,2016,2.0,1,215137444.954,2051310.5216544182
17,2016,2.0,2,15950000.0,193393750.0
18,2016,2.0,3,20730000.005000003,129315714.31690478
19,2016,2.0,4,1828468540.294,13127363852.745325
20,2016,2.0,6,13991996.589,135922252.57885712
21,2016,2.0,7,6248422.035,19786669.7775
22,2016,2.0,8,1849198540.322,13256423283.920017
23,2016,2.0,9,231087444.952,2243849.086698424
24,2016,2.0,10,752489428.44,6520240.845365745
25,2016,2.0,11,1040620358.804,6444648850.345235
26,2016,2.0,12,35358753.031,161640013.856
27,2016,2.0,13,2100526403.895,15649471585.039713
28,2016,2.0,14,643302081.593,8775120.618432665
29,2016,2.0,15,74100.313482,5244.099212232892
30,2016,2.0,16,349753.37965200003,3785.330863205075
31,2016,2.0,17,86451.69295899999,759970.6962442325
32,2016,3.0,1,60677529.695999995,226794701.15881968
33,2016,3.0,2,151830803.351,512428961.309625
34,2016,3.0,3,880037545.244,2015085.97007575
35,2016,3.0,4,23231191283.553,44747368445.832985
36,2016,3.0,6,78907532.899,289660563.80645573
37,2016,3.0,7,301557242.552,606110086.8512053
38,2016,3.0,8,24111228828.089,46762443799.88793
39,2016,3.0,9,212508333.07,738291861.369953
40,2016,3.0,10,5775941363.865,16419833309.325367
41,2016,3.0,11,11670913080.46,21769837868.358685
42,2016,3.0,12,5784336838.103,6557381854.675203
43,2016,3.0,13,24704201938.044,48399395628.21371
44,2016,3.0,14,3012877010.841,20196175568.521633
45,2016,3.0,15,2994145.45522,35495724.37794878
46,2016,3.0,16,412764.862202,1217.3065427652202
47,2016,3.0,17,53867.093442,156613.58648877777
48,2016,4.0,1,46401018.404,389365067.4770435
49,2016,4.0,2,16592746.503,131765928.11205883
50,2016,4.0,3,59045970.183000006,178138689.70464408
51,2016,4.0,4,31431739689.28,103844139985.7878
52,2016,4.0,6,56884241.271,252486193.71163157
53,2016,4.0,7,75938144.127,219820943.52552634
54,2016,4.0,8,31490785659.87,104022291978.5544
55,2016,4.0,9,62993764.906,519948535.7320636
56,2016,4.0,10,2434581031.463,13400693866.40599
57,2016,4.0,11,28358080067.964,89238251960.82133
58,2016,4.0,12,639078595.005,1204148.0882410328
59,2016,4.0,13,31686601805.378,105015680304.07994
60,2016,4.0,14,2045783625.65,16009306759.668697
61,2016,4.0,15,1689699.144097,36324532.31017048
62,2016,4.0,16,306368.72417299997,1968.368992562477
63,2016,4.0,17,131083.999089,482309.0653503664
64,2016,5.0,1,28649408.042999998,177823911.99103448
65,2016,5.0,2,2761957.5609999998,30381533.170999996
66,2016,5.0,3,1679780.787,5879232.7545
67,2016,5.0,4,11678278371.52,34286817284.28967
68,2016,5.0,5,1171568808.6,1565423851.764164
69,2016,5.0,6,651543766.59,2213450.065946089
70,2016,5.0,7,1366901191.427,2721803250.229915
71,2016,5.0,8,11679958151.07,34292877129.67838
72,2016,5.0,9,1202980174.188,1779970665.0495758
73,2016,5.0,10,1694915840.634,7967604376.502484
74,2016,5.0,11,9323475910.6,24992275714.019585
75,2016,5.0,12,659886620.615,1326772.038721371
76,2016,5.0,13,14901383284.633999,41010054836.558334
77,2016,5.0,14,1014613133.517,15054259892.380316
78,2016,5.0,15,603269.127459,18028.04258177642
79,2016,5.0,16,245995.720341,1670.970929633378
80,2016,5.0,17,333453.058694,1381.8775405336935
81,2016,6.0,1,1297252800.081,10778100365.20652
82,2016,6.0,2,584800869.839,3960651.361200202
83,2016,6.0,3,390849999.98300004,1979240.4091210745
84,2016,6.0,4,23789017642.3,95859071090.55594
85,2016,6.0,6,211050099.991,1736412.1970823505
86,2016,6.0,7,109109999.999,465469266.0507798
87,2016,6.0,8,24179867643.51,97839464443.38373
88,2016,6.0,9,1882053669.855,14739420318.805977
89,2016,6.0,10,5214760000.469,30877578917.44626
90,2016,6.0,11,12363509077.16,45420458957.3797
91,2016,6.0,12,6199877645.572,19520614761.163063
92,2016,6.0,13,26382081413.46,114779354201.93788
93,2016,6.0,14,3451181828.936,49677617314.51631
94,2016,6.0,15,1926451.775715,71112676.76336119
95,2016,6.0,16,797817.585787,6028.62160688673
96,2016,6.0,17,107616.78999199999,781218.1792011851
97,2016,7.0,1,2136629825.4900002,12109901940.259655
98,2016,7.0,2,1408906568.589,7486503533.730194
99,2016,7.0,3,1066175548.115,4518744020.99772
100,2016,7.0,4,22093282475.234,103847327747.39285
101,2016,7.0,6,465709780.578,3861593.545393545
102,2016,7.0,7,1015120235.393,3945467318.8427444
103,2016,7.0,8,23159458021.845,108366143144.3159
104,2016,7.0,9,3545536394.203,19596437617.028934
105,2016,7.0,10,9315776043.124,53303718546.44964
106,2016,7.0,11,10635030866.27,48086139561.3972
